연번,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,장애인,여성,전기충전급속,전기충전연속,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,데이터기준일자
1,산수1동 제3주차장,공영,노외,광주광역시 동구 경양로 309-6,광주광역시 동구 산수동 489-15,9,0,0,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
2,산수도서관 주변,공영,노상,광주광역시 동구 경양로 355,광주광역시 동구 산수1동 401-58,35,0,0,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청,2024-03-31
3,계림동 공영주차장,공영,노외,광주광역시 동구 경양로235번길 4,광주광역시 동구 계림동 489-25,3,0,0,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
4,계림동 (거주자 우선),공영,노외,광주광역시 동구 경양로277번길 23-2,광주광역시 동구 계림동 280 ,80,0,0,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
5,충장로상점가 공영주차장,공영,노외,광주광역시 동구 구성로 172-2,광주광역시 동구 충장로5가 25번지 ,38,0,0,0,0,1급지,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,700,30,350,12시간,,,현금,,동구청 ,2024-03-31
6,전자의거리 공영주차장,공영,노외,광주광역시 동구 구성로 199,광주광역시 동구 대인동 27-9,68,3,0,0,0,1급지,미시행,평일+토요일+공휴일,09:00,19:00,09:00,19:00,09:00,19:00,유료,30,700,30,350,12시간,,,현금,,전자의거리상가번영회,2024-03-31
7,금남지하주차장,공영,부설,광주광역시 동구 금남로 246,광주광역시 동구 금남로1가 23,107,0,0,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,120,무료,15,500,12시간,,,현금,,동구청,2024-03-31
8,너릿재유아숲,공영,노외,광주광역시 동구 남문로 48-8,광주광역시 동구 선교동 482,9,0,0,0,0,2급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
9,지원1동주민센터 뒤,공영,노상,광주광역시 동구 남문로 606-5,광주광역시 동구 소태동 595-9,9,0,0,0,0,2급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청,2024-03-31
10,지체장애인협회 앞,공영,노상,광주광역시 동구 남문로 638-7,광주광역시 동구 소태동 532-174,2,1,0,0,0,2급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청,2024-03-31
11,내남동 공영주차장1,공영,노외,광주광역시 동구 내남동 산 322-9,광주광역시 동구 내남동 산 322-9번지 외 50,51,2,0,0,0,2급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
12,내남동 공영주차장2,공영,노외,광주광역시 동구 내남동 산 322-9,광주광역시 동구 내남동 284번지 외 9,15,0,0,0,0,2급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
13,녹동 주차장,공영,노외,광주광역시 동구 녹동길 80,광주광역시 동구 월남동 267-1,15,0,0,0,0,2급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
14,계림동 푸른길 옆,공영,노상,광주광역시 동구 독립로376번길 16,광주광역시 동구 계림동 732,23,0,0,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청,2024-03-31
15,힐링가든 계림동 제1주차장,공영,노외,광주광역시 동구 독립로384번길 13,광주광역시 동구 계림동 672,3,0,0,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
16,동명동 제2공영주차장,공영,노외,광주광역시 동구 동계로10번길 11-1,광주광역시 동구 동명동 181-5일원,24,0,0,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
17,동명동 공영주차장,공영,노외,광주광역시 동구 동계로15번길 18,광주광역시 동구 동명동 254-35,3,0,0,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
18,동계천 공영주차장,공영,노상,광주광역시 동구 동계천로 10,광주광역시 동구 대인동 327-1,29,0,0,0,0,1급지,미시행,평일+토요일+공휴일,08:00,20:00,08:00,20:00,08:00,20:00,유료,30,700,15,350,12시간,,,현금,위탁,동구청,2024-03-31
19,동명동 제3공영주차장,공영,노외,광주광역시 동구 동계천로 171-4,광주광역시 동구 동명동35-6,18,0,1,0,0,1급지,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,무료,무료,무료,무료,무료,무료,무료,,,동구청 ,2024-03-31
