주차장명,주차장구분,소재지도로명주소,소재지지번주소,주차구획수,요금정보,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주소,구,x,y
산수1동 제3주차장,공영,광주광역시 동구 경양로 309-6,광주광역시 동구 산수동 489-15,9,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 경양로 309-6,동구,126.923492391406,35.154582295504
산수도서관 주변,공영,광주광역시 동구 경양로 355,광주광역시 동구 산수1동 401-58,35,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 경양로 355,동구,126.928443252413,35.1544123495279
계림동 공영주차장,공영,광주광역시 동구 경양로235번길 4,광주광역시 동구 계림동 489-25,3,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 경양로235번길 4,동구,126.91692151536,35.1577473298282
계림동 (거주자 우선),공영,광주광역시 동구 경양로277번길 23-2,광주광역시 동구 계림동 280 ,80,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 경양로277번길 23-2,동구,126.91991203212,35.1572553082713
충장로상점가 공영주차장,공영,광주광역시 동구 구성로 172-2,광주광역시 동구 충장로5가 25번지 ,38,유료,9:00,18:00,9:00,18:00,9:00,18:00,광주광역시 동구 구성로 172-2,동구,,
전자의거리 공영주차장,공영,광주광역시 동구 구성로 199,광주광역시 동구 대인동 27-9,68,유료,9:00,19:00,9:00,19:00,9:00,19:00,광주광역시 동구 구성로 199,동구,126.914056903685,35.1534935266651
금남지하주차장,공영,광주광역시 동구 금남로 246,광주광역시 동구 금남로1가 23,107,유료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 금남로 246,동구,126.918396680309,35.1478963730567
너릿재유아숲,공영,광주광역시 동구 남문로 48-8,광주광역시 동구 선교동 482,9,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 남문로 48-8,동구,,
지원1동주민센터 뒤,공영,광주광역시 동구 남문로 606-5,광주광역시 동구 소태동 595-9,9,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 남문로 606-5,동구,126.932322602171,35.1249494904907
지체장애인협회 앞,공영,광주광역시 동구 남문로 638-7,광주광역시 동구 소태동 532-174,2,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 남문로 638-7,동구,126.931174616113,35.128053503647
내남동 공영주차장1,공영,광주광역시 동구 내남동 산 322-9,광주광역시 동구 내남동 산 322-9번지 외 50,51,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 내남동 산 322-9,동구,,
내남동 공영주차장2,공영,광주광역시 동구 내남동 산 322-9,광주광역시 동구 내남동 284번지 외 9,15,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 내남동 산 322-9,동구,,
녹동 주차장,공영,광주광역시 동구 녹동길 80,광주광역시 동구 월남동 267-1,15,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 녹동길 80,동구,126.933858666923,35.1060668094578
계림동 푸른길 옆,공영,광주광역시 동구 독립로376번길 16,광주광역시 동구 계림동 732,23,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 독립로376번길 16,동구,126.916539501845,35.1637245209963
힐링가든 계림동 제1주차장,공영,광주광역시 동구 독립로384번길 13,광주광역시 동구 계림동 672,3,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 독립로384번길 13,동구,126.916819785928,35.1645270131448
동명동 제2공영주차장,공영,광주광역시 동구 동계로10번길 11-1,광주광역시 동구 동명동 181-5일원,24,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 동계로10번길 11-1,동구,126.925380254966,35.1525998491856
동명동 공영주차장,공영,광주광역시 동구 동계로15번길 18,광주광역시 동구 동명동 254-35,3,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 동계로15번길 18,동구,126.922968310814,35.1540260044621
동계천 공영주차장,공영,광주광역시 동구 동계천로 10,광주광역시 동구 대인동 327-1,29,유료,8:00,20:00,8:00,20:00,8:00,20:00,광주광역시 동구 동계천로 10,동구,126.913889394413,35.1563371987027
동명동 제3공영주차장,공영,광주광역시 동구 동계천로 171-4,광주광역시 동구 동명동35-6,18,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 동계천로 171-4,동구,126.928034296627,35.1493340219022
화원한정식 앞(전여고 뒤편),공영,광주광역시 동구 동계천로95번길 3,광주광역시 동구 동명동 228-12,29,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 동계천로95번길 3,동구,126.92146587997,35.1518182392617
가족회관 앞,공영,광주광역시 동구 동명로 50,광주광역시 동구 동명동 159-7,9,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 동명로 50,동구,126.925952104904,35.15131522036
힐링가든 지산동 제1주차장,공영,광주광역시 동구 동명로 81-14,광주광역시 동구 지산동 720-59,3,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 동명로 81-14,동구,126.929758703679,35.1513584987668
동명동(푸른길),공영,광주광역시 동구 동명로20번길 43-5,광주광역시 동구 동명동 25번지 주변,32,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 동명로20번길 43-5,동구,126.927876059465,35.1503152394475
동산경로당 주변,공영,광주광역시 동구 동산길7번길 22,광주광역시 동구 동산길 7번길,9,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 동산길7번길 22,동구,126.94803438609,35.1310544335673
힐링가든 계림동 제2주차장,공영,광주광역시 동구 무등로321번길 12-1,광주광역시 동구 계림동 554-1,4,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 무등로321번길 12-1,동구,,
광고앞 공영주차장,공영,광주광역시 동구 무등로333번길 11,광주광역시 동구 계림동 505-329,38,유료,8:00,20:00,8:00,20:00,8:00,20:00,광주광역시 동구 무등로333번길 11,동구,126.919283555318,35.1626166272866
계림2동(푸른길 옆),공영,광주광역시 동구 무등로384번길 7,광주광역시 동구 계림동 38-2번지 주변,39,무료,0:00,0:00,0:00,0:00,0:00,0:00,광주광역시 동구 무등로384번길 7,동구,,
